n,local,visitante,signo,tipo,indice_sorpresa,objetivo,volatilidad,lesiones,cuotas,xg,arbitro,clima,lectura
1,Elche,Alavés,1X2,TRIPLE,92,descenso,alta,pendiente,pendiente,pendiente,pendiente,pendiente,Descenso directo; ansiedad máxima; tres escenarios reales.
2,Sevilla,Espanyol,X,FIJO,74,permanencia,muy alta,pendiente,pendiente,pendiente,pendiente,pendiente,Favorito vulnerable; bloqueo psicológico; X de valor.
3,Atlético de Madrid,Celta,1,FIJO,80,Champions/Europa,media,pendiente,pendiente,pendiente,pendiente,pendiente,Metropolitano + objetivo Champions; pilar sólido.
4,Real Sociedad,Betis,1X2,TRIPLE,91,Europa,alta,pendiente,pendiente,pendiente,pendiente,pendiente,"Partido técnico, abierto y muy quinielero."
5,Mallorca,Villarreal,1X,DOBLE,86,permanencia_vs_champions,muy alta,pendiente,pendiente,pendiente,pendiente,pendiente,Mallorca más necesitado; posible bomba anti-favorito.
6,Athletic Club,Valencia,1,FIJO,72,Europa_vs_permanencia,media-alta,pendiente,pendiente,pendiente,pendiente,pendiente,San Mamés + empuje local.
7,Oviedo,Getafe,X,FIJO,78,supervivencia,alta,pendiente,pendiente,pendiente,pendiente,pendiente,"Partido feo, físico y de bloqueo psicológico."
8,Rayo Vallecano,Girona,1X2,TRIPLE,90,zona_media/salvacion,muy alta,pendiente,pendiente,pendiente,pendiente,pendiente,"Caos, ida y vuelta, partido de guion roto."
9,Ceuta,Castellón,2,FIJO,65,playoff/ascenso,media,pendiente,pendiente,pendiente,pendiente,pendiente,Castellón con objetivo fuerte; signo diferencial visitante.
10,Burgos,Almería,X2,DOBLE,84,playoff_vs_ascenso,alta,pendiente,pendiente,pendiente,pendiente,pendiente,Burgos fuerte en casa; Almería obligado al ascenso.
11,Málaga,Sporting,1,FIJO,75,playoff,media,pendiente,pendiente,pendiente,pendiente,pendiente,Málaga con mejor dinámica y localía.
12,Andorra,Las Palmas,X,FIJO,71,playoff/ascenso,media-alta,pendiente,pendiente,pendiente,pendiente,pendiente,"Control, miedo a perder y empate útil."
13,Leganés,Racing Santander,2,FIJO,76,salvacion_vs_ascenso,media-alta,pendiente,pendiente,pendiente,pendiente,pendiente,Racing con objetivo enorme; signo diferencial.
14,Córdoba,Granada,1,FIJO,73,playoff/reenganche,media,pendiente,pendiente,pendiente,pendiente,pendiente,Córdoba más enchufado y con hambre competitiva.
15,Barcelona,Real Madrid,M-1,PLENO,51,titulo/orgullo,muy alta,pendiente,pendiente,pendiente,pendiente,pendiente,Clásico abierto; marcador emocional 2-1.
